Date,Minimum temperature,Maximum temperature,Rainfall,Evaporation,Sunshine,Direction of maximum wind gust ,Speed of maximum wind gust,Time of maximum wind gust,9am Temperature,9am relative humidity,9am cloud amount,9am wind direction,9am wind speed,9am MSL pressure (hPa),3pm Temperature,3pm relative humidity,3pm cloud amount (oktas),3pm wind direction,3pm wind speed
4/1/2023,5.2,14.2,0.6,,,SSW,46,10:42,7.1,93,,S,19,,13.4,67,,SSW,19
4/2/2023,6.9,15.6,,,,WSW,35,13:29,10.5,100,,SSW,9,,12.9,79,,SW,11
4/3/2023,8.6,15.2,2,,,W,22,15:08,10.7,100,,NNW,6,,14.3,88,,WNW,13
4/4/2023,8.1,19.1,0.6,,,SSW,35,17:04,11.1,91,,SSE,11,,17.6,60,,SSW,15
4/5/2023,7.9,19.8,0.2,,,S,33,7:25,13.3,80,,S,17,,18.4,58,,SSW,19
4/6/2023,10.7,16,0.2,,,NE,56,12:03,13.8,87,,ENE,28,,15,89,,NE,31
4/7/2023,12.3,19.4,9.8,,,NNE,52,3:25,13,100,,ENE,17,,15.2,93,,WSW,13
4/8/2023,9.2,12.5,2.8,,,SSW,70,14:02,10.4,100,,SW,20,,10.6,82,,SSW,24
4/9/2023,4.7,12,8,,,SSW,76,8:10,7.8,82,,S,31,,9.4,72,,SSW,26
4/10/2023,5.4,15.2,0.8,,,S,78,12:21,9.5,71,,S,30,,13.9,58,,S,26
4/11/2023,6.5,19.9,0,,,ENE,44,23:54,13.8,76,,N,11,,17.6,61,,NNW,20
4/12/2023,10.4,15.8,0.2,,,NE,59,8:26,12.6,92,,NE,39,,14.5,80,,ENE,20
4/13/2023,10.5,21.8,0.2,,,,,,15.8,80,,ESE,7,,17.9,73,,WSW,13
4/14/2023,9.6,16.9,,,,NE,65,22:41,13.5,76,,ENE,26,,14.3,72,,NE,37
4/15/2023,11.1,15.9,0,,,NE,70,5:55,13.2,93,,NE,41,,13.2,100,,N,35
4/16/2023,9.1,14.6,16.6,,,SSW,52,13:40,10.8,100,,S,22,,11.8,92,,SSW,24
4/17/2023,7,16,7.8,,,W,33,1:49,12.4,100,,WSW,17,,15.2,83,,WSW,15
4/18/2023,11.6,14.6,2.8,,,WNW,65,17:15,13.6,100,,NNW,30,,14.5,99,,NW,24
4/19/2023,7,12.1,11.8,,,SW,54,13:58,7.6,100,,W,11,,11.4,68,,WSW,20
4/20/2023,6.1,14,,,,,,,10.4,100,,NW,17,,13,100,,WNW,26
4/21/2023,10.4,15.7,9.4,,,W,37,3:38,13.5,100,,W,17,,13.9,100,,W,19
4/22/2023,10.9,15,4.4,,,W,37,16:04,12.1,100,,W,20,,13.7,100,,WSW,20
4/23/2023,7.7,19.1,2.8,,,ENE,39,23:15,10.2,98,,SSE,11,,18.5,45,,NNW,9
4/24/2023,9.4,18.6,0.2,,,ENE,43,0:33,13.3,96,,NE,26,,15.7,76,,N,17
4/25/2023,9.1,21.1,0.2,,,WNW,22,14:05,14.2,83,,SSW,6,,20.8,62,,WSW,11
4/26/2023,11.6,21,0,,,ENE,48,19:59,15.2,73,,NE,19,,18.8,61,,NNE,30
4/27/2023,11.9,15.9,0,,,N,57,9:09,15.8,78,,N,37,,14.1,100,,N,24
4/28/2023,12.3,13,4.8,,,W,65,9:36,12.9,100,,NNW,33,,10.6,69,,SW,19
4/29/2023,5.5,14.2,7.4,,,WNW,48,13:09,7.1,87,,WSW,15,,12.3,74,,WNW,20
4/30/2023,7.1,16.3,0.6,,,N,30,10:47,10.2,93,,N,19,,12.9,85,,NNW,15
5/1/2023,10.2,15,0,,,SW,31,21:33,11.9,95,,WNW,7,,14.7,87,,WNW,11
5/2/2023,10.2,14,3.4,,,WSW,39,14:25,12.2,100,,SW,9,,11.7,88,,SW,19
5/3/2023,6.5,10.8,5.4,,,S,48,14:00,7.2,100,,S,24,,9.8,88,,SSW,28
5/4/2023,4.5,14.8,0.8,,,NNW,31,21:18,9.8,77,,SSE,9,,12.1,77,,WNW,15
5/5/2023,7.8,11.6,4.8,,,NW,63,12:27,10.2,100,,NNW,26,,8.8,100,,SSW,20
5/6/2023,2.1,9.8,9.6,,,SSW,44,12:14,5.3,89,,SSW,13,,7.9,76,,S,20
5/7/2023,1.1,10.7,1.2,,,S,46,11:57,5.3,69,,SSE,17,,9.3,61,,S,24
5/8/2023,2.7,12.1,0.6,,,SSW,59,13:41,7.7,100,,WSW,13,,10,100,,SW,33
5/9/2023,7.1,10.8,6.6,,,SW,54,4:13,8.6,100,,SSW,26,,10,100,,SSW,20
5/10/2023,6.7,13,2,,,SSW,52,12:01,8.5,100,,S,28,,12,75,,SSW,19
5/11/2023,4.9,12.5,0.2,,,N,35,14:27,8,87,,NE,20,,10.3,81,,N,28
5/12/2023,7.8,15.4,3.2,,,SSW,37,10:41,10.5,100,,WSW,11,,12.3,72,,SW,15
5/13/2023,6.8,14.1,0.2,,,SW,30,5:53,9,76,,SSW,13,,11.7,76,,SSE,9
5/14/2023,6.3,16,0,,,NNW,31,23:21,9.2,91,,NE,19,,13.3,74,,NW,17
